Date;SP/GOLD;MM7
01/11/1953;0,707428571;0,559245292
01/12/1953;0,708857143;0,562479986
01/01/1954;0,738600963;0,565946324
01/02/1954;0,740583404;0,569514494
01/03/1954;0,762956669;0,573437447
01/04/1954;0,800339847;0,578006119
01/05/1954;0,826677995;0,582932558
01/06/1954;0,827244407;0,587607236
01/07/1954;0,87453979;0,59265788
01/08/1954;0,844803172;0,597504176
01/09/1954;0,915038233;0,603258032
01/10/1954;0,897196262;0,608690641
01/11/1954;0,96969697;0,615136013
01/12/1954;1,018974795;0,622062584
01/01/1955;1,037383178;0,629415785
01/02/1955;1,041064854;0,637047509
01/03/1955;1,035967148;0,6442512
01/04/1955;1,075049561;0,651784103
01/05/1955;1,073633532;0,658888584
01/06/1955;1,161993769;0,667027965
01/07/1955;1,232512036;0,676309571
01/08/1955;1,222883036;0,68543573
01/09/1955;1,236760125;0,694890357
01/10/1955;1,199093741;0,703539432
01/11/1955;1,288870008;0,713866116
01/12/1955;1,288020391;0,724029624
01/01/1956;1,241008213;0,733120016
01/02/1956;1,284055508;0,74294693
01/03/1956;1,372982158;0,753668188
01/04/1956;1,370150099;0,764475227
01/05/1956;1,280090626;0,774415512
01/06/1956;1,330218069;0,784963755
01/07/1956;1,398753894;0,795999288
01/08/1956;1,345511187;0,806333763
01/09/1956;1,284338714;0,815805561
01/10/1956;1,29085245;0,825183129
01/11/1956;1,276692155;0,834384653
01/12/1956;1,321721892;0,843860849
01/01/1957;1,277714286;0,853272414
01/02/1957;1,236;0,862129556
01/03/1957;1,260285714;0,871252005
01/04/1957;1,306857143;0,88066357
01/05/1957;1,355142857;0,890408468
01/06/1957;1,353428571;0,900503706
01/07/1957;1,368857143;0,910731597
01/08/1957;1,292;0,919847244
01/09/1957;1,212;0,927660169
01/10/1957;1,173142857;0,934983298
01/11/1957;1,192;0,94253772
01/12/1957;1,142571429;0,949197584
01/01/1958;1,180968564;0,955889386
01/02/1958;1,156612858;0,962243621
01/03/1958;1,1922968;0,969158719
01/04/1958;1,230246389;0,976175258
01/05/1958;1,248654772;0,983720467
01/06/1958;1,281223449;0,991843876
01/07/1958;1,336448598;1,000134931
01/08/1958;1,352308128;1,00831547
01/09/1958;1,417728689;1,017281627
01/10/1958;1,453695837;1,026784809
01/11/1958;1,486264514;1,036696121
01/12/1958;1,563579722;1,047225132
01/01/1959;1,570376664;1,057635833
01/02/1959;1,56924384;1,068335042
01/03/1959;1,570093458;1,078663442
01/04/1959;1,630982724;1,090077047
01/05/1959;1,661852167;1,101672832
01/06/1959;1,655904843;1,112820321
01/07/1959;1,713678845;1,124504599
01/08/1959;1,687907108;1,136009046
01/09/1959;1,610875106;1,146764601
01/10/1959;1,629000283;1,157742796
01/11/1959;1,650523931;1,168586004
01/12/1959;1,696120079;1,179659734
01/01/1960;1,574907958;1,189435849
01/02/1960;1,589351459;1,199547176
01/03/1960;1,567261399;1,209603009
01/04/1960;1,539790428;1,219559698
01/05/1960;1,581138488;1,230035836
01/06/1960;1,61200793;1,241015522
01/07/1960;1,572075899;1,251312344
01/08/1960;1,613140753;1,262584428
01/09/1960;1,515717927;1,272686512
01/10/1960;1,51203625;1,282340005
01/11/1960;1,572925517;1,29264354
01/12/1960;1,645709431;1,303796544
01/01/1961;1,749645993;1,315832794
01/02/1961;1,79665817;1,328405113
01/03/1961;1,842537525;1,341257266
01/04/1961;1,849617672;1,353748668
01/05/1961;1,885018408;1,366347959
01/06/1961;1,830642877;1,378293179
01/07/1961;1,890682526;1,390390116
01/08/1961;1,927782498;1,403282727
01/09/1961;1,889832909;1,414887426
01/10/1961;1,943358822;1,427341742
01/11/1961;2,019824412;1,439843259
01/12/1961;2,026338148;1,45183568
01/01/1962;1,949589351;1,462695277
01/02/1962;1,981308411;1,473888653
01/03/1962;1,96969697;1,485004484
01/04/1962;1,847635231;1,494201933
01/05/1962;1,688756726;1,501524828
01/06/1962;1,550552251;1,506150524
01/07/1962;1,649107901;1,511109999
01/08/1962;1,674313226;1,516484167
01/09/1962;1,593599547;1,520732256
01/10/1962;1,600679694;1,525513041
01/11/1962;1,763239875;1,531160301
01/12/1962;1,78702917;1,537100882
01/01/1963;1,874822996;1,544646296
01/02/1963;1,820730671;1,551035286
01/03/1963;1,885301614;1,557134327
01/04/1963;1,976777117;1,564356077
01/05/1963;2,005097706;1,572987114
01/06/1963;1,964599264;1,580539271
01/07/1963;1,957802322;1,58719461
01/08/1963;2,053242707;1,595619985
01/09/1963;2,030586236;1,604503884
01/10/1963;2,096006797;1,614089055
01/11/1963;2,073916737;1,623579824
01/12/1963;2,124610592;1,633138022
01/01/1964;2,181818182;1,643901164
01/02/1964;2,20334183;1,655417138
01/03/1964;2,236760125;1,667041834
01/04/1964;2,250354007;1,678273939
01/05/1964;2,276125743;1,689238021
01/06/1964;2,313508921;1,700667549
01/07/1964;2,355706599;1,712415757
01/08/1964;2,317473803;1,724623778
01/09/1964;2,384027188;1,738576483
01/10/1964;2,403285188;1,753221034
01/11/1964;2,390824129;1,76749275
01/12/1964;2,400169924;1,782464161
01/01/1965;2,479750779;1,797925854
01/02/1965;2,476069102;1,813633666
01/03/1965;2,440101954;1,82848849
